Kinase Uniprot ID	Kinase Name	Mean Specificity Score	Mean Significance Score	Mean Final Score	Median Final score	Mean Kinase Statistic	Median Kinase Statistic	SD Kinase Statitistic	Mean peptide set size
Q9UIK4	DAPK2	0.9176444063	0.9746941347	1.892338541	1.867484165	-1.352328067	-1.14546078	0.2487166	4.888888889
P50613	CDK7	0.9736097222	0.9746941347	1.948303857	1.860750782	-0.778260554	-0.8095516368	0.08587971126	14.88888889
Q9UPZ9	ICK	1.00938924	0.9746941347	1.984083375	1.854120204	-1.649394704	-1.557428811	0.1592895992	3.333333333
Q9UQM7	CaMK2[alpha]	0.8670546838	0.9746941347	1.841748818	1.828566099	1.675014417	1.675014417	0	3
O96017	CHK2	0.6816992091	0.9746941347	1.656393344	1.754586047	0.4735891535	0.4889506718	0.06635092461	21.55555556
P24723	PKC[eta]	0.5549564606	0.7725204894	1.32747695	1.700536285	0.4258169717	0.5242511922	0.2051469356	15.11111111
Q02156	PKC[epsilon]	0.8031702709	0.9746941347	1.777864406	1.695940534	0.5523234082	0.5044659894	0.1203398938	20.44444444
P68400	CK2[alpha]1	0.6415656226	0.9746941347	1.616259757	1.669342765	-1.010046891	-1.066807756	0.1702825955	4.888888889
Q8NI60	ADCK3	0.6289232841	0.9105693892	1.539492673	1.665063967	-0.6986372073	-0.6966542475	0.04910302699	9.555555556
P49841	GSK3[beta]	0.6015979271	0.9746941347	1.576292062	1.60920615	-0.8143470098	-0.8504313267	0.1082529507	6.888888889
Q9P1W9	Pim2	0.6050683965	0.8781374461	1.483205843	1.60920615	0.2812637622	0.3254704562	0.123809521	39.55555556
O43930	PRKY	0.7077226342	0.9455279276	1.653250562	1.573293594	0.8053875249	0.4735624837	0.5733378419	11.66666667
P05129	PKC[gamma]	0.4911828175	0.8933507832	1.384533601	1.536943572	0.394871618	0.5119186493	0.2289211295	15.22222222
Q9HBY8	SGK2	0.5399517385	0.6966271987	1.236578937	1.521375795	0.3615796176	0.4311849961	0.2259509379	17.88888889
Q14164	IKK[epsilon]	0.5122586851	0.9746941347	1.48695282	1.506346804	-0.717454053	-0.8874204287	0.2045547181	7
Q15131	CDK10	0.4708343595	0.9246687709	1.39550313	1.423244137	0.6401512741	0.6148447641	0.1816491332	7.111111111
Q96Q40	PFTAIRE2	0.4170034316	0.9746941347	1.391697566	1.359796919	0.6120964974	0.6113242891	0.09168755816	6.777777778
Q8IWB6	SgK307	0.5807709654	0.9163617204	1.497132686	1.343250366	-0.8506283106	-0.7481121807	0.3514471041	4.777777778
O75676	MSK2	0.6474058599	0.6946486306	1.34205449	1.340540191	1.331027103	1.331027103	0	3
Q9Y6S9	RSKL2	0.3543692921	0.9746941347	1.329063427	1.338518014	-0.7689772552	-0.7689772552	0.2212405159	3.5
O14920	IKK[beta]	0.3289647589	0.9746941347	1.303658894	1.337204405	0.6985986378	0.7432607036	0.1271422887	3.666666667
Q00532	CDKL1	0.4136861017	0.7347324804	1.148418582	1.321481621	-0.3894723245	-0.5729070107	0.6240939098	5.8
Q05655	PKC[delta]	0.5719656437	0.9746941347	1.546659778	1.321481621	0.3655118343	0.2402446132	0.1780895052	24.44444444
Q04759	PKC[theta]	0.3175927913	0.9746941347	1.292286926	1.280967186	0.2569949018	0.2635076418	0.029422928	23
P41743	PKC[iota]	0.2690504944	0.8326194436	1.101669938	1.277464792	0.2762862488	0.2964279083	0.09734216213	16.11111111
Q13535	ATR	0.3171741448	0.9746941347	1.29186828	1.270543618	0.4456442562	0.4234834442	0.06648243589	8.888888889
P04049	RAF1	0.2391861555	0.9746941347	1.21388029	1.253708391	0.4108298328	0.4492608548	0.0985813947	6.333333333
Q9UKE5	TNIK/ZC2	0.2468540893	0.9746941347	1.221548224	1.224957819	0.6188502863	0.6188502863	0	3
Q9HBH9	MNK2	0.2417242528	0.9746941347	1.216418388	1.220348491	-0.6400232005	-0.6400232005	0	3
P42345	mTOR/FRAP	0.2153226996	0.7815807575	0.9969034572	1.202372428	0.4018371838	0.4636108907	0.2114609696	4.888888889
P31749	Akt1/PKB[alpha]	0.5092815414	0.6959603298	1.205241871	1.0648153	0.3064562316	0.2413340811	0.1891067725	30.22222222
Q86V86	Pim3	0.2765269153	0.5646037823	0.8411306976	0.9921839689	0.1126735006	0.119645839	0.03935232084	60.44444444
P31751	Akt2/PKB[beta]	0.427436643	0.745839263	1.173275906	0.9798045102	0.2822647786	0.2091941958	0.1613581894	28.33333333
Q16644	MAPKAPK3	0.1870705239	0.5643240434	0.7513945673	0.8671002301	-0.08010538892	-0.02410290055	0.1588868799	38.22222222
O14757	CHK1	0.4674314368	0.4975206397	0.9649520764	0.8579611147	-0.5249277262	-0.5283784025	0.2596688289	10
O60285	NuaK1	0.2584815861	0.5464543459	0.804935932	0.8284841644	-0.3099523918	-0.5186436832	0.466647914	4.6
Q16512	PKN1/PRK1	0.1936365897	0.3891692298	0.5828058195	0.8149680796	-0.2903630715	-0.5029069049	0.2677571917	7
Q13153	PAK1	0.09753235017	0.6861327796	0.7836651298	0.7808767309	-0.19438742	-0.19438742	0	6
P48729	CK1[alpha]	0.1018841837	0.6664732891	0.7683574727	0.7787109822	0.1487106426	0.1259390411	0.1054126458	10.88888889
O14965	AurA/Aur2	0.2275071954	0.474081967	0.7015891625	0.7625970282	-0.4274145234	-0.4874953162	0.1802423785	5.111111111
Q15418	RSK3	0.1676887545	0.5559552041	0.7236439585	0.7247255102	-0.2450133692	-0.2450133692	0	10
P23443	p70S6K	0.1268330242	0.5481172216	0.6749502458	0.6638686128	-0.07736476016	-0.1120559772	0.1333401344	19.66666667
O43293	DAPK3	0.08301995268	0.5376020021	0.6206219548	0.6206219548	0.2328238812	0.2328238812	NA	3
Q13131	AMPK[alpha]1	0.206472119	0.573997546	0.780469665	0.5955905261	0.2886754604	0.246745436	0.07048884696	10.77777778
P05771	PKC[beta]	0.05379219738	0.519993057	0.5737852544	0.573540792	-0.08746301544	-0.08746301544	0	10
P11309	Pim1	0.2199504089	0.5258772806	0.7458276895	0.5383214299	0.0908393966	0.09141807969	0.02423804127	63.77777778
Q05513	PKC[zeta]	0.1104191974	0.3942978367	0.5047170341	0.5258420344	-0.1750893724	-0.1943694852	0.05987721755	9.555555556
O95819	HGK/ZC1	0.2016961023	0.4158527836	0.6175488859	0.5213815653	-0.1507483759	-0.3120639442	0.34451878	6.428571429
P10398	ARAF	0.08575437206	0.3957739469	0.481528319	0.4809021294	0.2524506134	0.2524506134	0	3
P15056	BRAF	0.09270405767	0.3950708156	0.4877748733	0.4809021294	0.1405047782	0.2524506134	0.2365417726	3.333333333
O00141	SGK1	0.04016913093	0.4271283978	0.4672975287	0.4690425493	0.1252034987	0.1252034987	0	3
Q15349	RSK1/p90RSK	0.1210255046	0.3279021421	0.4489276466	0.4505307962	0.236509901	0.236509901	0	6
P49137	MAPKAPK2	0.05607821693	0.3384247107	0.3945029277	0.4494047925	0.002192243301	0.009151732474	0.05818442095	32.33333333
O75116	ROCK2	0.1023878965	0.413118083	0.5155059795	0.4099476985	0.2077490183	0.204553205	0.1154268716	4.8
P16066	ANP[alpha]	0.07398573786	0.3554783526	0.4294640904	0.3427987689	0.04939731253	0.05303239604	0.07953778204	26.22222222
Q8TD08	ERK7	0.07262963696	0.1713401035	0.2439697404	0.2439697404	0.1669968474	0.1669968474	NA	3
P51812	RSK2	0.0495527647	0.1674910873	0.217043852	0.2171262329	-0.08590765556	-0.08590765556	0	9
Q96GD4	AurB/Aur1	0.04511301189	0.1705962211	0.215709233	0.2171262329	-0.0525827884	-0.1150952262	0.1277242966	4.111111111
Q13464	ROCK1	0.03604287333	0.201667601	0.2377104743	0.189971904	0.08448966217	0.06098540297	0.05517908165	4.714285714
O15075	DCAMKL1	0.05678563451	0.1260673558	0.1828529903	0.1812148614	0.1374333444	0.1374333444	0.05633842618	4.5
Q96S38	RSKL1	0.02184825062	0.1450869777	0.1669352283	0.1673643348	-0.06642990213	-0.06642990213	0	3
Q00537	PCTAIRE2	0.02117689454	0.1440610426	0.1652379371	0.1207068109	0.06249718665	0.04322277228	0.04309890075	3.2
P41279	COT	0.01114551128	0.1067932469	0.1179387582	0.1182342901	-0.02987476548	-0.02987476548	0	4
O75582	MSK1	0.0007732397781	0	0.0007732397781	0.0008694587126	-0.00123839755	-0.00123839755	0	8
